words,embeddings
2 girls 1 cup,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
nudes,"tensor([ 5.1664e-01,  7.7041e-01,  1.2758e-01,  3.0487e-01,  2.9067e-01,
         3.5077e-01, -9.6296e-02, -7.8884e-02, -5.0997e-01, -1.4695e-02,
         2.0993e-01,  2.1435e-01,  8.1452e-01,  3.4759e-01,  3.4547e-01,
         7.7234e-01, -9.7645e-02,  3.5221e-01,  6.8968e-01, -6.4680e-04,
        -5.0175e-02,  2.0423e-02,  1.7617e-01,  1.5541e-01,  4.7992e-01,
        -6.1551e-01, -5.6205e-01, -5.3284e-02, -2.5854e-01, -2.8001e-01,
        -2.3908e-01, -9.7964e-01, -2.8621e-01,  2.7697e-01, -3.7718e-01,
         3.7577e-01,  2.8886e-01, -1.7872e-03, -6.8316e-01,  4.2449e-02,
         3.1124e-01,  2.3386e-01, -7.1123e-01,  4.4231e-01, -5.1434e-01,
        -6.2323e-01,  1.9967e-01, -1.9729e-01, -4.1179e-01,  1.3489e-01,
        -4.1346e-01, -5.9163e-01, -6.5258e-02,  3.9261e-01,  3.6222e-01,
         4.5136e-01,  1.9001e-01, -5.7462e-02, -7.3187e-01, -2.6809e-01,
         1.2995e-01,  1.1586e+00, -4.8891e-02,  1.0709e-01,  8.0506e-01,
         2.0321e-01,  1.0366e+00, -4.7653e-01, -7.8530e-01, -5.2116e-02,
         2.3358e-01, -2.5682e-01,  3.8703e-01,  6.9236e-02, -2.7454e-01,
        -1.2680e-01,  4.2450e-01,  4.0138e-01,  3.6376e-01, -7.4414e-01,
         8.7157e-02,  7.3269e-02,  7.5433e-01,  6.1901e-01, -2.2652e-01,
        -7.0236e-01,  3.2047e-02,  1.1171e-01,  6.3243e-01, -7.3454e-01,
         4.8203e-03, -7.5317e-01,  1.1277e+00, -2.9094e-01,  8.1740e-02,
        -2.0492e-01, -1.4086e+00, -5.9080e-01,  1.2089e-01, -1.7378e-02])"
numbnuts,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
nutbutter,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
nutsack,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
nympho,"tensor([ 0.5098, -0.0196,  0.5321, -0.0722, -0.2223,  0.2616,  0.1792, -0.3817,
         0.4209,  0.2021, -0.7029,  0.1769, -0.1895,  0.0732,  0.2029,  0.1583,
        -0.9135, -0.2454,  0.2700, -0.0778,  0.3043,  0.5207, -0.8485,  0.2411,
        -0.1972,  0.1191, -0.0748,  0.3127,  0.0726,  0.2762, -0.1877, -0.3406,
         0.7436, -0.6974,  0.3233,  0.1996, -0.1725, -0.6849,  0.3131,  0.4004,
         0.8363,  0.3565, -0.2511, -0.1655, -0.1530, -0.5005, -0.2649,  0.3211,
         0.1065,  0.2977, -0.2185,  0.0633, -0.1536, -0.1429, -0.0479,  0.7786,
        -0.0051,  0.2510, -0.4524, -0.5318,  0.2138, -0.2395,  0.0094, -0.4032,
        -0.2023, -0.0805,  0.3290, -0.5645, -0.0921, -0.7953,  0.0323,  0.1868,
         0.3168,  0.7107, -0.4050,  0.4729, -0.0693,  0.3367,  0.4267,  0.5239,
        -0.6475, -0.3160,  1.1013, -0.1013, -0.5746, -0.3254, -0.2375,  0.3762,
         0.0157,  0.3239,  0.0928,  0.2561,  0.3022, -0.1436,  0.2736, -0.2960,
         0.2729, -0.2559, -0.4143,  0.5296])"
omg,"tensor([ 0.3125,  0.2535,  0.3309, -0.1921, -0.3377, -0.1309, -0.0707,  0.2554,
         0.3907, -0.0468,  1.1375, -0.5618, -0.5713, -0.0625,  0.2743, -0.0269,
         0.5021,  0.4478, -0.1965,  0.1376, -0.4463, -0.3537, -0.6352,  0.1109,
         0.2020,  0.9656, -0.2340,  1.3392,  0.2249, -0.4197, -0.2709,  0.3185,
        -0.1600,  0.8164,  0.5580,  0.3725,  0.7057, -0.1071,  0.4660, -0.8305,
        -0.5509,  0.8123,  0.6061,  0.3117, -0.8819,  0.0405, -0.4520,  0.3345,
        -0.2292,  0.3029, -0.1396,  0.0393,  0.6177, -0.3879, -0.7781,  0.5764,
         0.7665,  0.8162,  0.6984, -0.5731, -0.1998, -0.3460, -0.9902,  0.2272,
         0.1530, -0.3902, -0.4965, -0.4250,  0.2336,  0.4378, -0.1045,  0.1374,
        -1.1847,  0.1454, -0.8158, -0.0267, -0.4118, -0.2211,  0.2018, -0.5610,
        -0.0411, -0.4757,  0.3490, -0.3820,  0.1542,  0.2673, -0.7782, -0.2537,
        -0.6996,  0.8889,  0.1409,  0.0281,  0.0141,  0.0724,  1.8533, -0.7803,
        -0.7975, -0.2533, -0.2974,  0.2091])"
opiate,"tensor([ 0.7436,  0.4519,  0.7503, -0.0546,  0.1152,  0.2821,  0.1527,  0.0783,
         0.2114,  0.9894, -0.3421, -1.3387, -0.4165, -0.3730,  1.2994, -0.0394,
         0.2716, -0.2797,  0.2394, -0.3185,  0.2792, -0.6663, -0.8313,  0.5816,
        -0.6775,  0.8187,  0.5035,  0.1756,  0.3551,  0.6437, -0.1747, -0.2881,
        -0.5055,  0.3193, -0.0346, -0.1935,  0.1469,  0.5409,  0.3421,  0.0864,
         0.1124,  0.6679, -0.2251, -0.2382,  0.6296, -0.4771, -0.0204,  0.1660,
        -0.4558,  0.9595, -0.9905,  0.4377,  0.2662,  0.0876,  0.0234,  0.8531,
        -0.1233, -0.3842,  0.2894,  0.0524,  0.2848, -0.0413,  0.3610, -0.2650,
        -0.2312, -0.4233,  0.9500, -1.3067, -0.7691, -1.0046,  0.4458, -0.6732,
         0.9617,  0.2216, -0.1410, -1.1690,  0.0359, -0.0173, -0.4077, -0.3470,
         0.3138, -0.6023, -0.4311,  0.7151, -0.8893,  0.0422,  0.3576, -0.1684,
        -1.1499, -0.6273, -0.1440,  0.5357, -0.5799,  0.1220,  0.3942, -0.4436,
         0.2416, -0.0873,  0.1967,  0.1262])"
opium,"tensor([ 1.8535e-01,  4.1588e-01,  3.5059e-01, -3.2806e-01,  2.5865e-01,
        -4.9030e-01, -1.2137e-03,  1.0512e-01,  7.4791e-01,  5.3558e-01,
        -3.5124e-01, -4.1222e-01,  7.7910e-03,  1.8542e-01, -1.1421e-02,
         2.7458e-01,  1.1417e+00, -5.1761e-01,  3.3827e-01, -4.3659e-01,
         1.2499e+00,  8.3748e-02,  1.0113e-01,  4.3666e-01, -2.7470e-01,
         8.4208e-01,  1.3076e+00, -8.4517e-01, -1.9029e-01, -8.0288e-02,
        -8.3319e-01, -7.8832e-01,  8.2759e-01, -1.2233e+00,  6.5140e-02,
         6.3709e-01, -1.0792e-01,  3.3996e-01, -1.7931e-01,  2.2798e-02,
        -5.7203e-01,  2.3103e-01,  4.3202e-01, -1.5540e-01,  1.1237e+00,
        -4.7053e-01, -3.2224e-01, -4.9219e-01, -3.1837e-01, -4.9919e-01,
        -6.9045e-01,  6.6789e-01, -2.0905e-01,  1.3326e+00, -3.4127e-02,
         3.2021e-01, -1.3821e+00, -4.5220e-01,  2.8026e-01, -9.2001e-01,
         3.3603e-01,  2.4740e-01, -2.9488e-02, -2.3208e-01,  9.2882e-02,
        -3.7929e-01,  7.8156e-01, -9.8081e-01,  1.0458e+00, -3.4090e-01,
         9.6707e-01, -2.5333e-01,  4.4590e-01,  6.6157e-01, -7.9271e-01,
        -1.3363e+00, -7.6274e-01,  4.6927e-02, -1.3523e+00,  1.0076e+00,
         1.3737e+00,  1.8797e-01, -1.1528e+00,  2.1817e-01, -9.0453e-01,
        -3.5105e-01,  5.4181e-01, -2.5545e-01, -6.1778e-01,  6.9416e-01,
         2.0101e-01,  3.0254e-01, -4.6676e-01, -4.9336e-02, -5.0796e-01,
        -9.0773e-01,  1.1084e-01, -9.0622e-02,  1.6990e-01, -6.6573e-02])"
oral,"tensor([ 0.4112,  0.5803,  0.1515,  0.8138, -0.2585,  0.6868,  0.3998,  0.2178,
        -0.9193, -0.4113, -0.4679, -0.5218, -0.0739,  1.2166,  0.7160, -0.4451,
         0.4408, -0.1107,  0.2777, -0.3235, -0.5873, -1.0659, -0.3277,  0.7720,
        -0.2226,  0.2829,  0.6447, -0.2001, -0.2453,  0.1293,  0.1065, -0.0170,
         0.0555,  0.2069,  0.0730, -0.2277, -0.8977,  0.2051, -0.0291,  0.4784,
        -0.1974,  0.3303, -0.6530, -0.8315, -0.0801, -0.4412, -0.1095, -1.2298,
        -0.2558, -0.4203,  0.6115,  0.5191,  0.7353, -0.4165,  0.2374, -0.4736,
         0.0139, -1.1415,  1.4515,  0.2492,  0.6575,  0.7674,  0.6506, -0.7684,
         0.4557, -0.1367,  0.6434,  0.2568, -0.0320, -0.8089, -0.3438,  0.5349,
         1.5313,  0.6520, -0.4114, -0.1020, -0.9492, -0.0449, -0.8155, -0.7444,
        -0.3816,  0.2209,  0.3563,  0.4229, -1.7103,  0.4541, -0.2818,  0.6308,
        -0.4809,  0.4301,  0.8721, -0.5609, -0.7882,  0.8596,  0.2202, -0.0203,
        -0.4468, -0.9378,  0.2571,  0.5207])"
orally,"tensor([-0.0232,  0.1635,  0.3221,  0.5638,  0.2884,  1.5871,  0.4190,  0.3168,
        -0.7276, -0.9225,  0.1782,  0.6628, -0.3614,  0.3915, -0.1363, -0.5387,
        -0.3835,  0.0117, -0.7340, -0.6721,  0.1623, -0.6510, -0.6655,  0.8851,
        -0.3182, -0.1223,  0.1261,  0.7108, -0.4131,  0.7180,  0.6686,  0.8711,
        -0.3229, -0.4338,  0.0383,  0.4996, -0.9077, -0.4138, -0.6588, -0.3737,
        -0.6079,  0.9808, -0.4450, -0.0879,  0.0098,  0.4799,  0.2470, -0.4614,
        -0.1649, -0.1335,  0.1238,  0.0217,  0.7603,  0.1989, -0.3250,  0.8070,
        -0.3322, -0.5238,  0.6152, -0.5831,  0.8753,  0.7901, -0.0181, -0.4557,
        -0.2205, -0.2053,  0.6679,  0.3239,  0.1766,  0.0282,  0.0278, -0.6780,
         1.1609,  0.2050, -0.0931, -0.4098, -1.0337, -0.5454, -0.3069, -0.8228,
        -0.7272,  0.3441, -0.7141,  0.3193, -0.7945,  0.5606,  0.8652,  0.4035,
        -1.1119, -0.2319, -1.1320, -0.7163, -0.5569,  0.2100, -0.3528, -0.1380,
         0.1260, -0.6205, -0.3929, -0.2269])"
organ,"tensor([ 0.4734,  1.1807, -0.1156,  0.0128,  0.7530,  0.5636,  0.3886,  0.0241,
         0.5132, -0.0885, -0.3765, -0.0701,  0.3432,  1.0330, -0.0805,  0.5296,
         0.0386,  0.0029,  0.4226, -0.4446, -0.9980, -0.5854,  0.1033, -1.0988,
         0.1711,  0.0682, -0.5166,  0.1610,  0.8691,  0.9252,  0.2705, -0.0431,
         0.1549,  0.6410, -0.6159, -0.2448, -0.0489, -0.1488, -0.1618, -0.5362,
         0.1829,  0.0117, -0.1856, -0.4795,  0.4810, -0.1801,  0.2237, -1.3147,
        -0.7172, -0.2681, -0.0496,  0.1164,  0.0747, -0.7501, -0.3520, -1.2918,
        -0.5884, -0.9111,  0.5555,  1.2493,  0.3050, -0.4279,  0.2722,  0.7706,
         0.0406, -0.3006, -0.1704,  0.2918,  0.6965, -0.9186, -0.1656,  0.1714,
         0.4096, -0.2362,  0.8743, -0.7054, -0.2092,  0.0278,  0.3685, -0.1558,
         0.7190, -0.0677,  0.1711,  0.7769, -1.6178,  0.6084,  0.4250, -0.7031,
        -0.6699, -0.1706,  0.0849, -0.2135,  0.2667,  0.8195,  0.5181, -0.0882,
        -0.0836, -1.4117,  1.6809, -0.6973])"
orgasim,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
orgasims,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
orgasm,"tensor([ 4.0320e-01, -1.3168e-01,  3.1457e-01,  6.9706e-01, -6.3103e-01,
         2.7227e-01,  1.1555e-01, -9.4054e-02,  8.3401e-01, -7.6347e-02,
        -1.8111e-01, -1.2732e-01,  1.1020e-01,  4.6786e-01,  1.0422e+00,
        -3.8133e-01, -3.3799e-01, -5.8681e-02, -4.1669e-01, -6.4801e-01,
         3.9166e-01, -7.7197e-01, -7.9842e-01,  2.5491e-01,  3.3610e-03,
         9.2168e-01,  3.8920e-01, -6.7841e-01,  4.1053e-01, -9.7188e-01,
        -4.3017e-01,  9.8238e-02,  1.9326e-01, -2.1044e-01,  7.5881e-01,
        -4.7610e-01,  8.2327e-02,  9.3947e-01, -1.9962e-01, -2.4623e-02,
        -3.4886e-02,  9.8394e-01, -7.9847e-01,  4.1156e-01, -9.4635e-02,
         1.7108e-01,  4.3956e-01, -5.4090e-01,  5.5535e-03, -2.4420e-01,
        -2.9754e-01, -2.6899e-01, -3.5642e-02,  6.9984e-01,  5.2020e-01,
         1.0243e-01,  3.5025e-02,  5.1681e-02, -5.0603e-01,  1.2750e-01,
         8.7333e-04,  3.1142e-01, -1.8043e-01, -6.0651e-01, -1.0435e-02,
        -1.1187e-01,  8.9145e-01, -1.0525e+00,  4.2737e-01, -6.1884e-01,
        -3.6927e-01,  4.2798e-02,  9.6644e-01,  3.5203e-02, -3.1620e-01,
        -3.2575e-02, -3.1523e-01, -8.3125e-01, -2.1600e-01, -6.2615e-01,
        -3.9907e-01,  5.1670e-01,  1.9302e-01,  8.0036e-01, -8.0836e-01,
        -1.4733e-01,  1.3260e+00,  1.6554e-01,  3.1825e-01, -4.5680e-01,
         6.4389e-01,  8.1948e-01,  3.1956e-01,  3.6957e-01,  1.5268e+00,
        -4.0421e-01, -2.6685e-01,  4.3220e-01,  1.3490e-01,  1.1684e-01])"
orgasmic,"tensor([-0.0172,  0.1219, -0.1602,  0.4809, -0.5845,  0.2582, -0.1675, -0.5019,
         0.4557,  0.4532, -0.0927, -0.0286, -0.0025, -0.2150,  0.5076,  0.0740,
        -0.1502,  0.1125,  0.2778, -0.3417,  0.7207, -0.2284, -0.0532, -0.3251,
         0.0041,  0.6924, -0.2209,  0.4927,  0.2837, -0.1879, -0.2135, -0.4927,
        -0.4901, -0.0458, -0.4278, -0.2868,  0.1279,  0.3711, -0.2677, -0.0129,
         0.2874,  0.1586, -0.0370,  0.3731,  0.2295,  0.4079,  0.0826, -0.3278,
        -0.1141, -0.1151, -0.1907, -0.4802,  0.1401, -0.3840,  0.5626,  0.5734,
         0.6179, -0.1929,  0.0756,  0.0307, -0.1224,  0.1237,  0.2934, -0.7523,
        -0.2717, -0.1537,  0.1291, -0.6016,  0.2825, -0.3990,  0.1592, -0.3900,
         0.0663,  0.1755,  0.3734,  0.2415,  0.1160, -0.5555,  0.6079, -0.6944,
        -0.4812, -0.1435,  0.4081,  0.8211,  0.1007, -0.1720,  0.2918, -0.2303,
        -0.2377, -0.3401,  0.4816,  0.8052,  0.4487,  0.2919,  1.0543, -0.5897,
         0.3290, -0.0908,  0.0174,  0.4358])"
orgasms,"tensor([ 0.7123,  0.4911, -0.1434,  0.8834, -0.2323,  0.2172, -0.1107, -0.3508,
         0.3958, -0.3332, -0.0114,  0.3156,  0.3563,  0.8485,  0.3309, -0.1679,
        -0.6117, -0.1059, -0.1699, -0.3989,  0.3908, -0.5974, -0.5127,  0.3856,
        -0.6677,  0.3392,  0.2768, -0.2076,  0.3868, -0.8059,  0.3108, -0.0428,
         0.1286, -0.3515,  0.9677, -0.4612, -0.5556,  0.0616, -0.1735,  0.6471,
        -0.1203,  0.1656, -0.9754,  0.6767, -0.5596, -0.1101,  0.3764, -0.5474,
         0.3821, -0.1645, -0.3396, -0.4513, -0.1009,  0.0762,  1.2214,  0.6514,
         0.8021,  0.3987, -0.8255,  0.2024, -0.5210,  0.2709,  0.1640, -0.1163,
         0.1879, -0.1779,  0.5043, -0.8644,  0.4076, -0.5823,  0.0273,  0.1163,
         0.9828,  0.2978,  0.2355,  0.0944,  0.2174, -0.4870,  0.3191,  0.0070,
        -0.0712, -0.6330,  0.6501,  0.0877, -0.2989, -0.6942,  0.9255,  0.2541,
        -0.7427, -0.4743,  0.3479,  0.9445,  0.6214,  0.0169,  0.6188, -0.5643,
        -0.3492,  0.1568, -0.1527, -0.2896])"
orgies,"tensor([ 0.3428, -0.0646, -0.3335,  0.3080, -0.4655,  1.2571, -0.0527,  0.2763,
        -0.3237, -0.1555, -0.2218,  0.5624, -0.0808,  0.7636,  0.2569,  0.0246,
        -0.0996,  0.6980, -0.2716, -0.5095,  0.5317, -0.3275,  0.0458,  0.0239,
        -0.4403,  0.2337,  0.0721,  0.6556, -0.5064, -0.2537, -0.2366, -0.5318,
         0.0569, -0.0810,  0.3341, -0.0873,  0.2201, -0.3971, -0.0888, -0.1801,
         0.5616, -0.0730, -0.5315, -0.5298, -0.3365, -0.2744, -0.3543,  0.0149,
        -0.1406, -0.0471, -0.5712,  0.3207, -0.1149, -0.0958,  0.0285,  0.1435,
         0.2589, -0.0969, -0.5821,  0.1241, -0.5035,  0.0469,  0.4829, -0.6082,
        -0.4987,  0.0409,  0.5984, -0.6893,  0.5618,  0.2401,  0.1337, -0.9357,
         0.1501,  0.4464, -0.7526, -0.0085,  0.0287, -0.3586, -0.3108,  0.4429,
        -0.2162,  0.2383,  1.0850,  0.2183, -0.1733, -0.2389, -0.3726,  0.0433,
        -0.3223, -0.1910, -0.2267, -0.0130,  0.2336, -0.1140,  0.4591, -0.6606,
        -0.3862, -0.1232, -0.1087,  0.0161])"
orgy,"tensor([ 0.2779,  0.1434,  0.0305, -0.1710, -0.5077,  1.3062,  0.1353,  0.5751,
         0.2341,  0.4764, -0.4631,  0.5590, -0.2990, -0.1164,  0.5631,  0.9756,
        -0.1397, -0.0655,  0.0900, -0.2659,  0.9402, -0.1561, -0.5393, -0.2914,
         0.4587,  0.3016,  0.1455,  0.8360, -0.6401, -0.6324, -0.2287, -0.7254,
        -0.2042,  0.3049, -0.2162, -0.9229,  0.1940, -0.2937, -0.3325, -0.3739,
         0.3802,  0.5796, -0.3593,  0.0191,  0.0035, -0.1868, -0.3148, -0.2268,
         0.2686, -0.4281, -0.0894, -0.0146, -0.1324,  0.1432, -0.4068, -0.5783,
        -0.1901, -0.1772,  0.1871,  0.4317,  0.0072,  0.0564,  0.3658, -0.3771,
         0.3351,  0.1179,  0.3942, -0.8049,  0.2934, -0.2877, -0.0213, -0.8527,
        -0.2913,  0.7336, -1.2777,  0.0205, -0.2516, -0.0931, -0.8448, -0.5164,
         0.3881,  0.6016,  0.6143,  0.5418,  0.3089,  0.0859, -0.6406, -0.1380,
        -0.4450, -0.4503,  0.0606, -0.0660,  0.2530, -0.0896,  0.9329, -1.0699,
         0.1577, -0.2544, -0.1632,  0.2266])"
ovary,"tensor([ 0.5668,  0.7429, -0.3617,  0.4591, -0.4523,  0.4291, -0.0168,  0.1519,
         1.2111,  0.6340, -0.2887,  0.6217,  0.2664, -0.0311,  0.4862,  0.1489,
        -0.5359,  0.1833,  0.4535, -0.6716, -0.8020, -0.7476, -0.3651,  0.5542,
         0.4052,  1.2196,  0.4270, -1.0458,  0.0193,  0.1856,  0.6712,  0.2615,
         0.7716,  0.0707,  0.7025, -0.4339,  0.1984,  0.5512, -0.8695, -0.4794,
         0.2850, -0.1614, -0.3604, -0.4981,  0.7174, -0.1468,  0.2138,  0.0581,
        -0.1750,  0.8745, -0.1314, -0.8692,  0.5703,  0.2693, -0.5188,  0.6389,
        -0.5592, -0.1944, -0.1506,  0.6159, -0.5541,  0.6721,  0.8479,  1.1368,
         0.7094, -0.1034,  0.1175, -0.3421, -0.9934, -0.3988, -0.5037,  1.0216,
         0.3053, -0.0548,  0.5774,  0.1758, -1.1086,  0.0561,  0.3357, -0.4863,
        -0.3965,  0.6184, -0.8898,  1.0252,  0.3315,  0.1340,  0.6144,  0.7961,
         0.3570, -0.3485,  0.4170, -0.0786, -0.1807, -0.0252,  0.5932, -0.1964,
        -0.1614, -0.7745,  1.1940, -0.3070])"
ovum,"tensor([ 0.1474,  0.1442,  0.2985, -0.0236,  0.3725, -0.3713,  0.5116, -0.0502,
         0.9036,  0.4734, -0.0626,  0.2566,  0.8520,  0.6792, -0.2627,  0.0908,
        -0.2783,  0.1575,  1.0637, -0.1530, -0.7122, -0.4067, -0.1447, -0.0753,
         0.1865,  0.5219,  0.1168,  0.4580, -0.3218,  0.9494, -0.0827,  0.4874,
         0.0164,  0.0657, -0.1655, -0.1615, -0.3264,  0.6088, -0.0217, -0.1371,
         0.3490, -0.1099, -1.0669,  0.3316, -0.3392, -0.6126, -0.1464,  0.0594,
        -0.8663,  0.4063,  0.1353, -0.5216,  0.5532, -0.0600, -0.4361,  0.0436,
        -0.9438, -0.0361, -0.9104,  0.2190,  0.2436, -0.7422,  0.1312,  0.6163,
        -0.2213, -0.2355, -0.0834,  0.0603,  0.2527, -0.5199, -0.6530,  0.6229,
        -0.2365, -1.0592,  0.3616, -1.0775,  0.1007, -1.4098, -0.1388, -0.7691,
         0.8951,  0.8916,  0.2801,  1.1164, -0.0257, -0.1853,  0.7663,  0.4303,
         0.7924,  0.1287,  0.2797,  0.1318,  0.1609, -0.9463,  0.8989,  0.1442,
        -0.0919,  0.3052, -0.3420,  0.3438])"
ovums,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
p.u.s.s.y.,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
p0rn,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
paddy,"tensor([-9.9390e-01,  6.0593e-01, -7.4505e-02, -7.7678e-01,  1.0289e-01,
        -6.4723e-01,  4.8374e-01,  3.2225e-01, -1.8945e-02,  4.2174e-01,
        -9.6411e-01, -2.4978e-01,  2.9846e-01,  5.7078e-01, -4.2325e-02,
        -4.8157e-01,  3.2761e-01,  6.5219e-02, -2.8325e-01,  9.6109e-01,
         3.8700e-01,  6.1640e-01,  1.0821e+00, -9.0907e-01,  3.8684e-01,
         1.9921e-01,  1.8252e-01, -6.7681e-02, -7.7271e-02,  4.0987e-01,
        -3.5128e-01, -6.1145e-01,  7.4538e-01, -2.0675e-02,  1.5972e-01,
         7.2031e-01, -8.8870e-02,  1.0458e+00, -4.7309e-01,  5.0732e-03,
        -6.7131e-01,  2.2817e-04,  5.6053e-01,  4.1198e-01,  2.2274e-01,
         7.8341e-02, -1.0820e+00, -8.6655e-01, -2.9982e-01, -5.8266e-01,
         1.1358e-01, -2.0076e-01, -1.3884e-01,  4.9435e-01,  1.2343e-01,
        -1.2215e-01, -7.9559e-01,  6.4911e-01, -3.1201e-01, -5.5330e-01,
         7.9833e-01, -1.2085e-01, -1.8257e-01,  6.3348e-01,  5.1378e-01,
        -8.6168e-01, -4.7655e-02, -3.9563e-01,  1.0113e+00, -2.2346e-03,
         7.6981e-02,  1.4021e-01,  3.4183e-01, -8.0310e-01, -3.1136e-01,
        -4.4193e-01,  1.5498e-01, -2.2269e-02, -4.7239e-01,  1.6471e+00,
         5.0703e-01,  4.3997e-01, -9.5011e-01, -2.9636e-01,  6.9787e-01,
         1.8241e-01, -2.6548e-01, -1.3318e-01, -2.1092e-01,  3.5026e-01,
         1.3849e-01,  5.5609e-01, -9.8226e-01,  4.2338e-01, -7.2728e-01,
        -4.4868e-01,  3.8890e-01,  2.5887e-01,  2.8855e-02, -1.3351e-01])"
